Nom;ID;Latitude;Longitude;Coordonnées
ABBAYE;7525;50.819939;4.371000;50.819939, 4.371
ALBERT;2957;50.821413;4.341859;50.821413, 4.341859
ALCYONS;4058F;50.867670;4.293704;50.86767, 4.293704
ALMA;1586;50.847875;4.455839;50.847875, 4.455839
ALMA;1639;50.848073;4.455357;50.848073, 4.455357
ANSPACH-DE BROUCKERE;1576;50.850631;4.353345;50.850631, 4.353345
ANTOON VAN OSS;2317;50.905166;4.401794;50.905166, 4.401794
ANTOON VAN OSS;2358;50.905094;4.401524;50.905094, 4.401524
ARCHIDUCS;4454;50.810259;4.416127;50.810259, 4.416127
ARMATEURS;1054;50.864744;4.352616;50.864744, 4.352616
ARSENAL;1715;50.826393;4.396727;50.826393, 4.396727
ARSENAL;5263;50.826105;4.396684;50.826105, 4.396684
ARTEMIS;3210;50.862776;4.416379;50.862776, 4.416379
ARTISTES;2860;50.881564;4.354245;50.881564, 4.354245
AUDERGHEM-FORET;5658;50.818609;4.450335;50.818609, 4.450335
AUDERGHEM-SHOPPING;1731;50.816646;4.425400;50.816646, 4.4254
AUDERGHEM-SHOPPING;5269F;50.816286;4.426180;50.816286, 4.42618
AUDERGHEM-SHOPPING;5284F;50.815981;4.425924;50.815981, 4.425924
AUMALE;8712;50.839688;4.312574;50.839688, 4.312574
AVENUE DU ROI;6099;50.831453;4.334500;50.831453, 4.3345
AVIATION;5553;50.834921;4.456908;50.834921, 4.456908
AZALEES;3414;50.862497;4.380542;50.862497, 4.380542
AZUR;5174;50.866722;4.286958;50.866722, 4.286958
BAILLI;2966;50.827394;4.364040;50.827394, 4.36404
BAILLI;7521;50.826783;4.363922;50.826783, 4.363922
BAILLI;7527;50.827383;4.364269;50.827383, 4.364269
BAILLI;2949F;50.827322;4.363714;50.827322, 4.363714
BARA;6705;50.838906;4.337519;50.838906, 4.337519
BARA;6862;50.838501;4.337548;50.838501, 4.337548
BARA;6862F;50.838492;4.337519;50.838492, 4.337519
BARON DE CASTRO;1810;50.828736;4.407928;50.828736, 4.407928
BASCULE;1975;50.816040;4.367007;50.81604, 4.367007
BAYENS;9802;50.867344;4.277368;50.867344, 4.277368
BEAULIEU;3521;50.815971;4.407505;50.815971, 4.407505
BEAULIEU;4297;50.815413;4.408214;50.815413, 4.408214
BEECKMANS;4156;50.869343;4.310635;50.869343, 4.310635
BEL-AIR;5516;50.845841;4.479761;50.845841, 4.479761
BEL-AIR;5524;50.845869;4.479264;50.845869, 4.479264
BELGICA;5076;50.867752;4.335611;50.867752, 4.335611
BENS;7511;50.808637;4.339678;50.808637, 4.339678
BERCHEM-SHOPPING;7215;50.870617;4.291114;50.870617, 4.291114
BEYSEGHEM;2817;50.896604;4.377040;50.896604, 4.37704
BIENFAITEURS;6210;50.857715;4.383779;50.857715, 4.383779
BIZET;8681;50.824972;4.297093;50.824972, 4.297093
BOCKSTAEL;4125;50.875855;4.348194;50.875855, 4.348194
BOCKSTAEL;4128;50.875567;4.348194;50.875567, 4.348194
BOCKSTAEL;8793;50.879334;4.347780;50.879334, 4.34778
BODEGHEM;6602;50.843689;4.339461;50.843689, 4.339461
BODEGHEM;6656;50.843329;4.339547;50.843329, 4.339547
BOILEAU;1809;50.831533;4.404637;50.831533, 4.404637
BOIS DES ILES;4062;50.873514;4.295045;50.873514, 4.295045
BORDET STATION;3205;50.878150;4.409944;50.87815, 4.409944
BORDET STATION;5362;50.878150;4.409944;50.87815, 4.409944
BORNE;6754;50.854151;4.335549;50.854151, 4.335549
BOSSAERT-BASILIQUE;2570;50.864789;4.318851;50.864789, 4.318851
BOTANIQUE;6436;50.853104;4.366154;50.853104, 4.366154
BOURSE;2212;50.848643;4.347226;50.848643, 4.347226
BOURSE;5286;50.846316;4.349257;50.846316, 4.349257
BRAEMT;3118;50.851243;4.376464;50.851243, 4.376464
BREESCH;9027;50.876923;4.342226;50.876923, 4.342226
BRESIL;5415F;50.802733;4.390428;50.802733, 4.390428
BROUSTIN;6864;50.868118;4.326434;50.868118, 4.326434
BROUSTIN;6864F;50.868154;4.326476;50.868154, 4.326476
BRUNARD;2132;50.807958;4.357175;50.807958, 4.357175
BRUSSELSESTEENWEG;9577;50.822601;4.499050;50.822601, 4.49905
