from_stop_id,to_stop_id,count,per_hour,avg_time,max_time,min_time,lines
89,5501,10963,-228.395833333333,00:00:22.746151,00:00:43.725873,00:00:08.207331,"{39,44}"
471,6864,6924,-144.25,00:01:56.830112,00:02:42.911049,00:01:18.140914,{19}
472,5165,8014,-166.958333333333,00:01:34.6829,00:02:26.851574,00:00:58.523511,{19}
501,601,18103,-377.145833333333,00:01:18.708756,00:01:45.778677,00:00:54.826317,"{3,4,32}"
506,516,17478,-364.125,00:01:24.55401,00:02:00.27897,00:00:56.895745,"{3,4,32}"
511,501,17272,-359.833333333333,00:01:21.336085,00:01:48.536347,00:00:59.2002,"{3,4,32}"
516,526,8132,-169.416666666667,00:01:33.440533,00:02:17.072774,00:01:00.196278,"{3,32}"
526,5762,829,-17.2708333333333,00:02:33.730461,00:03:01.121294,00:02:00.151281,{32}
526,6177,7420,-154.583333333333,00:01:45.297082,00:02:55.414953,00:00:57.929639,{3}
529,536,2099,-43.7291666666667,00:00:20.073416,00:00:35.969083,00:00:13.415785,{55}
531,511,8013,-166.9375,00:01:06.697973,00:01:38.433791,00:00:21.260147,"{3,4,32}"
536,5762,15603,-325.0625,00:02:55.939037,00:04:39.099403,00:01:39.064954,"{25,55}"
539,536,1759,-36.6458333333333,00:00:20.040576,00:00:33.071089,00:00:13.078521,{25}
601,611,18278,-380.791666666667,00:01:15.485961,00:01:43.678946,00:00:49.533214,"{3,4,32}"
606,506,17894,-372.791666666667,00:01:16.018156,00:01:41.32326,00:00:52.516275,"{3,4,32}"
611,621,19159,-399.145833333333,00:01:27.095304,00:02:05.026454,00:00:56.062828,"{3,4,32}"
616,606,17435,-363.229166666667,00:01:17.519842,00:01:46.654981,00:00:53.100589,"{3,4,32}"
621,631,960,-20,00:02:39.866397,00:03:41.075965,00:01:39.378944,{32}
621,702,16389,-341.4375,00:02:37.510889,00:03:30.805948,00:01:58.790647,"{3,4}"
626,616,14612,-304.416666666667,00:01:50.104468,00:02:43.435373,00:01:02.815996,"{3,4,32}"
631,2539,13849,-288.520833333333,00:01:43.604213,00:02:36.744944,00:01:03.71252,"{32,81,82}"
636,626,879,-18.3125,00:02:53.512323,00:03:40.507941,00:02:15.440681,{32}
636,6068,3488,-72.6666666666667,00:02:16.760638,00:03:03.326111,00:01:22.002177,{81}
636,6601,6446,-134.291666666667,00:02:55.368536,00:03:57.971932,00:02:14.54685,{82}
