from_stop_id,to_stop_id,line,departure,arrival
8072,8082,1,2016-03-22 05:20:53.657874,2016-03-22 05:22:33.76936
8082,8092,1,2016-03-22 05:22:33.76936,2016-03-22 05:23:53.991707
8092,8102,1,2016-03-22 05:23:53.991707,2016-03-22 05:24:53.866357
8102,8112,1,2016-03-22 05:24:53.866357,2016-03-22 05:26:13.988065
8112,8122,1,2016-03-22 05:26:13.988065,2016-03-22 05:27:13.97673
8122,8132,1,2016-03-22 05:27:13.97673,2016-03-22 05:29:54.095003
8132,8142,1,2016-03-22 05:29:54.095003,2016-03-22 05:30:34.558987
8142,8152,1,2016-03-22 05:30:34.558987,2016-03-22 05:32:14.170628
8742,8292,1,2016-03-22 05:31:54.511793,2016-03-22 05:33:34.273062
8292,8282,1,2016-03-22 05:33:34.273062,2016-03-22 05:34:34.393144
8282,8272,1,2016-03-22 05:34:34.393144,2016-03-22 05:36:14.641833
8272,8012,1,2016-03-22 05:36:14.641833,2016-03-22 05:37:14.601985
8012,8022,1,2016-03-22 05:37:14.601985,2016-03-22 05:38:34.839899
8022,8032,1,2016-03-22 05:38:34.839899,2016-03-22 05:39:34.57184
8032,8042,1,2016-03-22 05:39:34.57184,2016-03-22 05:40:34.742785
8042,8052,1,2016-03-22 05:40:34.742785,2016-03-22 05:41:34.88154
8052,8062,1,2016-03-22 05:41:34.88154,2016-03-22 05:42:54.596907
8062,8072,1,2016-03-22 05:42:54.596907,2016-03-22 05:44:34.863796
8072,8082,1,2016-03-22 05:44:34.863796,2016-03-22 05:45:54.789712
8082,8092,1,2016-03-22 05:45:54.789712,2016-03-22 05:47:15.015061
8092,8102,1,2016-03-22 05:47:15.015061,2016-03-22 05:48:15.234337
8102,8112,1,2016-03-22 05:48:15.234337,2016-03-22 05:49:35.180246
8112,8122,1,2016-03-22 05:49:35.180246,2016-03-22 05:50:15.276071
8122,8132,1,2016-03-22 05:50:15.276071,2016-03-22 05:52:15.255828
8132,8142,1,2016-03-22 05:52:15.255828,2016-03-22 05:53:15.199714
8142,8152,1,2016-03-22 05:53:15.199714,2016-03-22 05:54:35.352722
8742,8292,1,2016-03-22 05:50:55.618839,2016-03-22 05:52:55.256363
8292,8282,1,2016-03-22 05:52:55.256363,2016-03-22 05:53:35.20568
8282,8272,1,2016-03-22 05:53:35.20568,2016-03-22 05:56:15.723119
8272,8012,1,2016-03-22 05:56:15.723119,2016-03-22 05:57:15.493625
8012,8022,1,2016-03-22 05:57:15.493625,2016-03-22 05:58:55.640743
8022,8032,1,2016-03-22 05:58:55.640743,2016-03-22 06:02:56.117996
8032,8042,1,2016-03-22 06:02:56.117996,2016-03-22 06:04:15.693119
8042,8052,1,2016-03-22 06:04:15.693119,2016-03-22 06:04:56.270833
8052,8062,1,2016-03-22 06:04:56.270833,2016-03-22 06:06:35.999502
8062,8072,1,2016-03-22 06:06:35.999502,2016-03-22 06:08:36.121339
8072,8082,1,2016-03-22 06:08:36.121339,2016-03-22 06:10:16.232706
8082,8092,1,2016-03-22 06:10:16.232706,2016-03-22 06:11:16.207523
8092,8102,1,2016-03-22 06:11:16.207523,2016-03-22 06:12:16.300579
8102,8112,1,2016-03-22 06:12:16.300579,2016-03-22 06:13:16.37666
8112,8122,1,2016-03-22 06:13:16.37666,2016-03-22 06:14:16.232776
8122,8132,1,2016-03-22 06:14:16.232776,2016-03-22 06:16:16.950222
8132,8142,1,2016-03-22 06:16:16.950222,2016-03-22 06:16:56.521693
8142,8152,1,2016-03-22 06:16:56.521693,2016-03-22 06:18:36.574993
8742,8292,1,2016-03-22 06:12:16.300579,2016-03-22 06:13:56.384205
8292,8282,1,2016-03-22 06:13:56.384205,2016-03-22 06:14:56.331534
8282,8272,1,2016-03-22 06:14:56.331534,2016-03-22 06:16:37.051792
8272,8012,1,2016-03-22 06:16:37.051792,2016-03-22 06:17:36.741983
8012,8022,1,2016-03-22 06:17:36.741983,2016-03-22 06:18:56.765953
8022,8032,1,2016-03-22 06:18:56.765953,2016-03-22 06:19:56.64043
8032,8042,1,2016-03-22 06:19:56.64043,2016-03-22 06:20:56.999688
8042,8052,1,2016-03-22 06:20:56.999688,2016-03-22 06:21:36.79794
8052,8062,1,2016-03-22 06:21:36.79794,2016-03-22 06:22:56.70187
8062,8072,1,2016-03-22 06:22:56.70187,2016-03-22 06:24:56.88843
8072,8082,1,2016-03-22 06:24:56.88843,2016-03-22 06:26:04.114045
8082,8092,1,2016-03-22 06:26:04.114045,2016-03-22 06:27:16.903569
8092,8102,1,2016-03-22 06:27:16.903569,2016-03-22 06:28:36.968131
8102,8112,1,2016-03-22 06:28:36.968131,2016-03-22 06:29:37.036737
8112,8122,1,2016-03-22 06:29:37.036737,2016-03-22 06:30:37.818414
8122,8132,1,2016-03-22 06:30:37.818414,2016-03-22 06:32:37.163395
8132,8142,1,2016-03-22 06:32:37.163395,2016-03-22 06:33:17.430767
8142,8152,1,2016-03-22 06:33:17.430767,2016-03-22 06:34:57.239388
8072,8082,1,2016-03-22 06:19:56.64043,2016-03-22 06:21:36.79794
8082,8092,1,2016-03-22 06:21:36.79794,2016-03-22 06:22:56.70187
8092,8102,1,2016-03-22 06:22:56.70187,2016-03-22 06:23:56.884719
8102,8112,1,2016-03-22 06:23:56.884719,2016-03-22 06:25:17.500524
8112,8122,1,2016-03-22 06:25:17.500524,2016-03-22 06:26:04.114045
8122,8132,1,2016-03-22 06:26:04.114045,2016-03-22 06:28:17.022684
8132,8142,1,2016-03-22 06:28:17.022684,2016-03-22 06:28:57.141922
8142,8152,1,2016-03-22 06:28:57.141922,2016-03-22 06:30:37.818414
8742,8292,1,2016-03-22 06:26:04.114045,2016-03-22 06:27:36.906802
8292,8282,1,2016-03-22 06:27:36.906802,2016-03-22 06:28:36.968131
8282,8272,1,2016-03-22 06:28:36.968131,2016-03-22 06:30:17.486531
8272,8012,1,2016-03-22 06:30:17.486531,2016-03-22 06:31:37.461739
8012,8022,1,2016-03-22 06:31:37.461739,2016-03-22 06:32:37.163395
8022,8032,1,2016-03-22 06:32:37.163395,2016-03-22 06:33:57.234371
8032,8042,1,2016-03-22 06:33:57.234371,2016-03-22 06:34:57.239388
8042,8052,1,2016-03-22 06:34:57.239388,2016-03-22 06:35:58.207191
8052,8062,1,2016-03-22 06:35:58.207191,2016-03-22 06:37:37.475016
8062,8072,1,2016-03-22 06:37:37.475016,2016-03-22 06:39:17.632098
8072,8082,1,2016-03-22 06:39:17.632098,2016-03-22 06:40:57.697819
8082,8092,1,2016-03-22 06:40:57.697819,2016-03-22 06:42:18.078361
8092,8102,1,2016-03-22 06:42:18.078361,2016-03-22 06:43:37.819746
8102,8112,1,2016-03-22 06:43:37.819746,2016-03-22 06:44:38.029059
8112,8122,1,2016-03-22 06:44:38.029059,2016-03-22 06:45:38.045467
8122,8132,1,2016-03-22 06:45:38.045467,2016-03-22 06:47:37.972427
8132,8142,1,2016-03-22 06:47:37.972427,2016-03-22 06:48:37.994471
8142,8152,1,2016-03-22 06:48:37.994471,2016-03-22 06:49:58.228469
8742,8292,1,2016-03-22 06:36:57.55427,2016-03-22 06:38:37.406839
8292,8282,1,2016-03-22 06:38:37.406839,2016-03-22 06:39:37.61326
8282,8272,1,2016-03-22 06:39:37.61326,2016-03-22 06:41:18.666881
8272,8012,1,2016-03-22 06:41:18.666881,2016-03-22 06:42:37.775381
8012,8022,1,2016-03-22 06:42:37.775381,2016-03-22 06:43:57.712945
8022,8032,1,2016-03-22 06:43:57.712945,2016-03-22 06:45:18.200723
8032,8042,1,2016-03-22 06:45:18.200723,2016-03-22 06:46:18.036162
8042,8052,1,2016-03-22 06:46:18.036162,2016-03-22 06:47:17.991632
8052,8062,1,2016-03-22 06:47:17.991632,2016-03-22 06:48:58.162063
8062,8072,1,2016-03-22 06:48:58.162063,2016-03-22 06:50:58.055672
8072,8082,1,2016-03-22 06:50:58.055672,2016-03-22 06:52:38.523948
8082,8092,1,2016-03-22 06:52:38.523948,2016-03-22 06:54:18.686034
8092,8102,1,2016-03-22 06:54:18.686034,2016-03-22 06:55:18.412473
8102,8112,1,2016-03-22 06:55:18.412473,2016-03-22 06:56:18.706658
8112,8122,1,2016-03-22 06:56:18.706658,2016-03-22 06:57:19.48657
8122,8132,1,2016-03-22 06:57:19.48657,2016-03-22 06:59:18.562995
8132,8142,1,2016-03-22 06:59:18.562995,2016-03-22 06:59:59.002858
8142,8152,1,2016-03-22 06:59:59.002858,2016-03-22 07:01:39.036377
8072,8082,1,2016-03-22 06:46:18.036162,2016-03-22 06:48:37.994471
8082,8092,1,2016-03-22 06:48:37.994471,2016-03-22 06:49:58.228469
